epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,3872.89,0.83938,0.54972,1.02015,0.90772,0.83802,0.90575,0.68294,0.82414,0.45979,0.98185,0.0002212,0.0002212,0.0002212
120,3910.25,0.83739,0.54633,1.01852,0.91317,0.83249,0.90013,0.67814,0.82761,0.4648,0.98493,0.0002146,0.0002146,0.0002146
121,3948.03,0.8341,0.53712,1.01135,0.92206,0.83163,0.90456,0.68313,0.82518,0.45864,0.98413,0.000208,0.000208,0.000208
122,3987.05,0.81327,0.53054,1.01184,0.91697,0.83376,0.90368,0.68297,0.82155,0.46068,0.97926,0.0002014,0.0002014,0.0002014
123,4026.59,0.82797,0.53684,1.0145,0.90614,0.84955,0.91311,0.68875,0.82126,0.45603,0.97917,0.0001948,0.0001948,0.0001948
124,4065.38,0.83896,0.5452,1.01467,0.92152,0.83719,0.91176,0.68725,0.8191,0.45551,0.97653,0.0001882,0.0001882,0.0001882
125,4102.77,0.83277,0.53835,1.01832,0.91184,0.84139,0.90542,0.6828,0.82308,0.45797,0.98189,0.0001816,0.0001816,0.0001816
126,4139.49,0.81643,0.53005,1.01281,0.9135,0.84019,0.90748,0.68524,0.82382,0.45616,0.98293,0.000175,0.000175,0.000175
127,4176.36,0.82361,0.53351,1.01342,0.92133,0.84069,0.91108,0.68789,0.82116,0.45293,0.98218,0.0001684,0.0001684,0.0001684
128,4213.86,0.81828,0.53251,1.01417,0.92462,0.83578,0.91159,0.68908,0.81843,0.45356,0.9804,0.0001618,0.0001618,0.0001618
129,4252.41,0.81875,0.53327,1.01192,0.92087,0.83505,0.90173,0.68435,0.81888,0.46169,0.98301,0.0001552,0.0001552,0.0001552
130,4289.46,0.81628,0.53272,1.00925,0.92228,0.83324,0.90109,0.68321,0.81828,0.46082,0.98297,0.0001486,0.0001486,0.0001486
131,4326.1,0.81452,0.52491,1.01227,0.91332,0.83653,0.90323,0.68359,0.81772,0.45854,0.98355,0.000142,0.000142,0.000142
132,4362.8,0.81539,0.52222,1.00876,0.91343,0.83988,0.9081,0.68753,0.81601,0.45476,0.98227,0.0001354,0.0001354,0.0001354
133,4399.68,0.80699,0.51978,1.01066,0.92257,0.83513,0.90933,0.68825,0.81284,0.45535,0.98045,0.0001288,0.0001288,0.0001288
134,4436.42,0.81073,0.51916,1.0112,0.91671,0.83727,0.90712,0.68727,0.81219,0.45586,0.97938,0.0001222,0.0001222,0.0001222
135,4473.32,0.80606,0.51927,1.00415,0.91913,0.83873,0.90311,0.6853,0.81099,0.45797,0.97725,0.0001156,0.0001156,0.0001156
136,4509.97,0.81172,0.52392,1.00774,0.92274,0.83281,0.90503,0.68672,0.81234,0.45359,0.97858,0.000109,0.000109,0.000109
137,4546.88,0.79863,0.51094,1.00548,0.92261,0.83101,0.90595,0.68774,0.81109,0.44994,0.97832,0.0001024,0.0001024,0.0001024
138,4583.69,0.79972,0.51682,1.00397,0.9178,0.83332,0.90601,0.68805,0.81141,0.44898,0.97885,9.58e-05,9.58e-05,9.58e-05
139,4621.01,0.80777,0.52317,1.00997,0.91472,0.8389,0.90715,0.68875,0.808,0.44849,0.97744,8.92e-05,8.92e-05,8.92e-05
140,4657.49,0.79553,0.51157,1.00597,0.92161,0.8344,0.90508,0.68644,0.8114,0.45069,0.97881,8.26e-05,8.26e-05,8.26e-05
141,4705.04,0.72236,0.42897,0.94425,0.92211,0.83219,0.90779,0.68556,0.81598,0.45103,0.98389,7.6e-05,7.6e-05,7.6e-05
142,4741.9,0.71896,0.4236,0.94498,0.92593,0.83029,0.90551,0.68415,0.81364,0.45089,0.98254,6.94e-05,6.94e-05,6.94e-05
143,4778.43,0.70803,0.41163,0.93799,0.9104,0.8362,0.90106,0.68183,0.81355,0.45177,0.98331,6.28e-05,6.28e-05,6.28e-05
144,4815.7,0.71572,0.41727,0.93966,0.92595,0.82699,0.90154,0.6818,0.81291,0.45102,0.98258,5.62e-05,5.62e-05,5.62e-05
145,4852.65,0.71163,0.40895,0.93996,0.92812,0.82752,0.90106,0.68123,0.81164,0.45027,0.982,4.96e-05,4.96e-05,4.96e-05
146,4889.32,0.70153,0.40965,0.93208,0.91474,0.83388,0.9031,0.68433,0.81121,0.44811,0.98199,4.3e-05,4.3e-05,4.3e-05
147,4926,0.69873,0.40558,0.93091,0.91764,0.83545,0.90558,0.68756,0.80911,0.44573,0.97945,3.64e-05,3.64e-05,3.64e-05
148,4962.86,0.7032,0.40655,0.9346,0.91861,0.83494,0.90632,0.68859,0.80795,0.44383,0.97836,2.98e-05,2.98e-05,2.98e-05
149,5000.26,0.69314,0.39756,0.93078,0.9141,0.83865,0.90666,0.68867,0.80736,0.44397,0.97787,2.32e-05,2.32e-05,2.32e-05
150,5037.01,0.69069,0.40286,0.9317,0.91347,0.84043,0.9068,0.68796,0.80742,0.44353,0.97799,1.66e-05,1.66e-05,1.66e-05
